Consumer Log
1:	1574031504.592756	->	1574031504.593623		0.0008668899536132812
2:	1574031504.592771	->	1574031504.5936399		0.0008687973022460938
3:	1574031504.5927732	->	1574031504.593645		0.0008718967437744141
4:	1574031504.5927749	->	1574031504.5936499		0.0008749961853027344
5:	1574031504.592777	->	1574031504.593654		0.0008769035339355469
6:	1574031504.592779	->	1574031504.5936582		0.0008792877197265625
7:	1574031504.592781	->	1574031504.593662		0.0008809566497802734
8:	1574031504.592782	->	1574031504.593666		0.0008840560913085938
9:	1574031504.592784	->	1574031504.59367		0.0008859634399414062
10:	1574031504.5927858	->	1574031504.593674		0.0008881092071533203
